INFO  - 2013-12-17 04:56:43.193; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/joao/Downloads/solr-4.6.0/dist/solr-langid-4.6.0.jar' to classloader
INFO  - 2013-12-17 04:56:43.194; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/joao/Downloads/solr-4.6.0/contrib/velocity/lib/commons-beanutils-1.7.0.jar' to classloader
INFO  - 2013-12-17 04:56:43.194; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/joao/Downloads/solr-4.6.0/contrib/velocity/lib/commons-collections-3.2.1.jar' to classloader
INFO  - 2013-12-17 04:56:43.195; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/joao/Downloads/solr-4.6.0/contrib/velocity/lib/velocity-1.7.jar' to classloader
INFO  - 2013-12-17 04:56:43.195; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/joao/Downloads/solr-4.6.0/contrib/velocity/lib/velocity-tools-2.0.jar' to classloader
INFO  - 2013-12-17 04:56:43.196; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/joao/Downloads/solr-4.6.0/dist/solr-velocity-4.6.0.jar' to classloader
INFO  - 2013-12-17 04:56:43.319; org.apache.solr.update.SolrIndexConfig; IndexWriter infoStream solr logging is enabled
INFO  - 2013-12-17 04:56:43.323; org.apache.solr.core.SolrConfig; Using Lucene MatchVersion: LUCENE_46
INFO  - 2013-12-17 04:56:43.434; org.apache.solr.core.SolrConfig; Loaded SolrConfig: solrconfig.xml
INFO  - 2013-12-17 04:56:43.440; org.apache.solr.schema.IndexSchema; Reading Solr Schema from schema.xml
INFO  - 2013-12-17 04:56:43.519; org.apache.solr.schema.IndexSchema; [collection1] Schema name=example
INFO  - 2013-12-17 04:56:44.017; org.apache.solr.schema.IndexSchema; unique key field: id
INFO  - 2013-12-17 04:56:44.086; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2013-12-17 04:56:44.093; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2013-12-17 04:56:44.206; org.apache.solr.core.SolrCore; solr.NRTCachingDirectoryFactory
INFO  - 2013-12-17 04:56:44.212; org.apache.solr.core.SolrCore; [collection1] Opening new SolrCore at /Users/joao/Downloads/solr-4.6.0/example/solr/collection1/, dataDir=/Users/joao/Downloads/solr-4.6.0/example/solr/collection1/data/
INFO  - 2013-12-17 04:56:44.214; org.apache.solr.core.JmxMonitoredMap; No JMX servers found, not exposing Solr information with JMX.
INFO  - 2013-12-17 04:56:44.217; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for newSearcher: org.apache.solr.core.QuerySenderListener{queries=[]}
INFO  - 2013-12-17 04:56:44.217; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for firstSearcher: org.apache.solr.core.QuerySenderListener{queries=[{q=static firstSearcher warming in solrconfig.xml}]}
INFO  - 2013-12-17 04:56:44.227; org.apache.solr.core.CachingDirectoryFactory; return new directory for /Users/joao/Downloads/solr-4.6.0/example/solr/collection1/data
INFO  - 2013-12-17 04:56:44.227; org.apache.solr.core.SolrCore; New index directory detected: old=null new=/Users/joao/Downloads/solr-4.6.0/example/solr/collection1/data/index/
WARN  - 2013-12-17 04:56:44.228; org.apache.solr.core.SolrCore; [collection1] Solr index directory '/Users/joao/Downloads/solr-4.6.0/example/solr/collection1/data/index' doesn't exist. Creating new index...
INFO  - 2013-12-17 04:56:44.233; org.apache.solr.core.CachingDirectoryFactory; return new directory for /Users/joao/Downloads/solr-4.6.0/example/solr/collection1/data/index
INFO  - 2013-12-17 04:56:44.273; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onCommit: commits: num=1
	commit{dir=NRTCachingDirectory(org.apache.lucene.store.NIOFSDirectory@/Users/joao/Downloads/solr-4.6.0/example/solr/collection1/data/index lockFactory=org.apache.lucene.store.NativeFSLockFactory@377d4c39; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2013-12-17 04:56:44.273; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2013-12-17 04:56:44.277; org.apache.solr.core.SolrCore; created json: solr.JSONResponseWriter
INFO  - 2013-12-17 04:56:44.277; org.apache.solr.core.SolrCore; adding lazy queryResponseWriter: solr.VelocityResponseWriter
INFO  - 2013-12-17 04:56:44.278; org.apache.solr.core.SolrCore; created velocity: solr.VelocityResponseWriter
INFO  - 2013-12-17 04:56:44.281; org.apache.solr.core.SolrCore; created xslt: solr.XSLTResponseWriter
INFO  - 2013-12-17 04:56:44.282; org.apache.solr.response.XSLTResponseWriter; xsltCacheLifetimeSeconds=5
INFO  - 2013-12-17 04:56:44.350; org.apache.solr.core.SolrCore; no updateRequestProcessorChain defined as default, creating implicit default
INFO  - 2013-12-17 04:56:44.361; org.apache.solr.core.RequestHandlers; created /select: solr.SearchHandler
INFO  - 2013-12-17 04:56:44.362; org.apache.solr.core.RequestHandlers; created /query: solr.SearchHandler
INFO  - 2013-12-17 04:56:44.365; org.apache.solr.core.RequestHandlers; created /get: solr.RealTimeGetHandler
INFO  - 2013-12-17 04:56:44.365; org.apache.solr.core.RequestHandlers; created /browse: solr.SearchHandler
INFO  - 2013-12-17 04:56:44.369; org.apache.solr.core.RequestHandlers; created /update: solr.UpdateRequestHandler
WARN  - 2013-12-17 04:56:44.380; org.apache.solr.core.SolrResourceLoader; Solr loaded a deprecated plugin/analysis class [solr.JsonUpdateRequestHandler]. Please consult documentation how to replace it accordingly.
INFO  - 2013-12-17 04:56:44.381; org.apache.solr.core.RequestHandlers; created /update/json: solr.JsonUpdateRequestHandler
WARN  - 2013-12-17 04:56:44.383; org.apache.solr.core.SolrResourceLoader; Solr loaded a deprecated plugin/analysis class [solr.CSVRequestHandler]. Please consult documentation how to replace it accordingly.
INFO  - 2013-12-17 04:56:44.383; org.apache.solr.core.RequestHandlers; created /update/csv: solr.CSVRequestHandler
INFO  - 2013-12-17 04:56:44.383; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.extraction.ExtractingRequestHandler
INFO  - 2013-12-17 04:56:44.384; org.apache.solr.core.RequestHandlers; created /update/extract: solr.extraction.ExtractingRequestHandler
